fight_id,fighter_name,height_disp,age_disp,knockdowns_disp,sig_strikes_landed_disp,total_strikes_attempted_disp,takedowns_landed_disp,takedowns_attempted_disp,sub_attemps_disp,control_time_disp,body_strikes_landed_disp,leg_strikes_landed_disp,outcome
1232,Brett Johns,1.0,-5.5,-3.0,-44.0,-84.0,0.0,2.0,-1.0,-0.9899999999999999,-6.0,-19.0,0.0
1233,Ricky Simon,-4.0,-0.40000000000000213,0.0,2.0,-15.0,2.0,12.0,0.0,1.7600000000000002,3.0,6.0,1.0
1233,Montel Jackson,4.0,0.40000000000000213,0.0,-2.0,15.0,-2.0,-12.0,0.0,-1.7600000000000002,-3.0,-6.0,0.0
1234,Ricardo Ramos,0.0,-7.899999999999999,0.0,-3.0,-11.0,0.0,-1.0,1.0,-1.4,2.0,-8.0,1.0
1234,Kyung Ho Kang,-0.0,7.899999999999999,0.0,3.0,11.0,0.0,1.0,-1.0,1.4,-2.0,8.0,0.0
1235,Sheymon Moraes,1.0,3.400000000000002,0.0,11.0,-14.0,0.0,-2.0,0.0,-0.83,17.0,-8.0,1.0
1235,Matt Sayles,-1.0,-3.400000000000002,0.0,-11.0,14.0,0.0,2.0,0.0,0.83,-17.0,8.0,0.0
1236,Jordan Mein,1.0,0.9000000000000021,0.0,-1.0,-44.0,3.0,3.0,0.0,7.48,1.0,0.0,1.0
1236,Alex Morono,-1.0,-0.9000000000000021,0.0,1.0,44.0,-3.0,-3.0,0.0,-7.48,-1.0,0.0,0.0
1237,Hakeem Dawodu,-4.0,0.3000000000000007,0.0,29.0,51.0,0.0,-1.0,0.0,0.0,4.0,27.0,1.0
1237,Austin Arnett,4.0,-0.3000000000000007,0.0,-29.0,-51.0,0.0,1.0,0.0,0.0,-4.0,-27.0,0.0
1238,John Makdessi,0.0,-0.5999999999999943,0.0,14.0,-7.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0
1238,Ross Pearson,-0.0,0.5999999999999943,0.0,-14.0,7.0,0.0,0.0,0.0,0.0,-4.0,-1.0,0.0
1239,Corey Anderson,1.0,-9.900000000000002,0.0,24.0,70.0,5.0,10.0,-1.0,3.76,1.0,0.0,1.0
1239,Glover Teixeira,-1.0,9.900000000000002,0.0,-24.0,-70.0,-5.0,-10.0,1.0,-3.76,-1.0,0.0,0.0
1240,Abu Azaitar,-4.0,-7.0,0.0,23.0,110.0,-3.0,-4.0,0.0,-1.2499999999999998,8.0,-2.0,1.0
1240,Vitor Miranda,4.0,7.0,0.0,-23.0,-110.0,3.0,4.0,0.0,1.2499999999999998,-8.0,2.0,0.0
1241,Marcin Tybura,-8.0,2.3000000000000043,0.0,5.0,20.0,4.0,5.0,0.0,5.6,10.0,3.0,1.0
1241,Stefan Struve,8.0,-2.3000000000000043,0.0,-5.0,-20.0,-4.0,-5.0,0.0,-5.6,-10.0,-3.0,0.0
1242,Danny Roberts,1.0,3.0,0.0,2.0,-5.0,-2.0,-3.0,-2.0,4.2,-1.0,0.0,1.0
1242,David Zawada,-1.0,-3.0,0.0,-2.0,5.0,2.0,3.0,2.0,-4.2,1.0,0.0,0.0
1243,Nasrat Haqparast,0.0,-2.5,1.0,22.0,-11.0,0.0,0.0,0.0,0.27,-8.0,1.0,1.0
1243,Marc Diakiese,-0.0,2.5,-1.0,-22.0,11.0,0.0,0.0,0.0,-0.27,8.0,-1.0,0.0
1244,Damir Hadzovic,3.0,-2.200000000000003,0.0,11.0,-48.0,0.0,0.0,0.0,0.0,2.0,8.0,1.0
1244,Nick Hein,-3.0,2.200000000000003,0.0,-11.0,48.0,0.0,0.0,0.0,0.0,-2.0,-8.0,0.0
1245,Bartosz Fabinski,1.0,2.3000000000000043,0.0,6.0,-7.0,5.0,6.0,0.0,9.43,2.0,3.0,1.0
1245,Emil Meek,-1.0,-2.3000000000000043,0.0,-6.0,7.0,-5.0,-6.0,0.0,-9.43,-2.0,-3.0,0.0
1246,Nad Narimani,3.0,4.900000000000002,0.0,12.0,22.0,3.0,8.0,0.0,6.24,1.0,-2.0,1.0
1246,Khalid Taha,-3.0,-4.900000000000002,0.0,-12.0,-22.0,-3.0,-8.0,0.0,-6.24,-1.0,2.0,0.0
1247,Aleksandar Rakic,0.0,-3.3000000000000007,0.0,72.0,187.0,1.0,0.0,0.0,7.67,2.0,10.0,1.0
1247,Justin Ledet,-0.0,3.3000000000000007,0.0,-72.0,-187.0,-1.0,0.0,0.0,-7.67,-2.0,-10.0,0.0
1248,Pingyuan Liu,1.0,-3.0,0.0,-2.0,33.0,-1.0,-3.0,2.0,-4.1899999999999995,2.0,-5.0,1.0
1248,Damian Stasiak,-1.0,3.0,0.0,2.0,-33.0,1.0,3.0,-2.0,4.1899999999999995,-2.0,5.0,0.0
1249,Ricky Glenn,6.0,-2.3000000000000007,0.0,12.0,29.0,-4.0,-8.0,0.0,-1.54,-1.0,-1.0,1.0
1249,Dennis Bermudez,-6.0,2.3000000000000007,0.0,-12.0,-29.0,4.0,8.0,0.0,1.54,1.0,1.0,0.0
1250,Alejandro Perez,-1.0,-5.100000000000001,0.0,3.0,21.0,0.0,1.0,0.0,-0.07,-9.0,0.0,1.0
1250,Eddie Wineland,1.0,5.100000000000001,0.0,-3.0,-21.0,0.0,-1.0,0.0,0.07,9.0,0.0,0.0
1251,Alexander Volkanovski,-4.0,-4.400000000000002,2.0,4.0,-30.0,-1.0,3.0,3.0,1.15,-2.0,8.0,1.0
1251,Darren Elkins,4.0,4.400000000000002,-2.0,-4.0,30.0,1.0,-3.0,-3.0,-1.15,2.0,-8.0,0.0
1252,Said Nurmagomedov,1.0,0.10000000000000142,0.0,19.0,18.0,0.0,5.0,0.0,0.3,11.0,2.0,1.0
1252,Justin Scoggins,-1.0,-0.10000000000000142,0.0,-19.0,-18.0,0.0,-5.0,0.0,-0.3,-11.0,-2.0,0.0
1253,Raoni Barcelos,-4.0,-0.6000000000000014,0.0,-22.0,-83.0,2.0,1.0,0.0,1.9299999999999997,-3.0,-5.0,1.0
1253,Kurt Holobaugh,4.0,0.6000000000000014,0.0,22.0,83.0,-2.0,-1.0,0.0,-1.9299999999999997,3.0,5.0,0.0
1254,Derrick Lewis,-1.0,1.5999999999999979,0.0,2.0,5.0,0.0,1.0,0.0,0.0,5.0,2.0,1.0
1254,Francis Ngannou,1.0,-1.5999999999999979,0.0,-2.0,-5.0,0.0,-1.0,0.0,0.0,-5.0,-2.0,0.0
1255,Mike Perry,-1.0,-7.400000000000002,0.0,6.0,-12.0,2.0,1.0,0.0,1.3199999999999998,5.0,-3.0,1.0
1255,Paul Felder,1.0,7.400000000000002,0.0,-6.0,12.0,-2.0,-1.0,0.0,-1.3199999999999998,-5.0,3.0,0.0
1256,Raphael Assuncao,-3.0,5.0,0.0,14.0,10.0,1.0,1.0,0.0,2.27,-3.0,5.0,1.0
1256,Rob Font,3.0,-5.0,0.0,-14.0,-10.0,-1.0,-1.0,0.0,-2.27,3.0,-5.0,0.0
1257,Drakkar Klose,0.0,4.0,0.0,5.0,-22.0,0.0,-2.0,0.0,0.5499999999999999,0.0,2.0,1.0
1257,Lando Vannata,-0.0,-4.0,0.0,-5.0,22.0,0.0,2.0,0.0,-0.5499999999999999,0.0,-2.0,0.0
1258,Curtis Millender,3.0,-2.0,0.0,-10.0,-30.0,0.0,0.0,0.0,-2.68,4.0,-4.0,1.0
1258,Max Griffin,-3.0,2.0,0.0,10.0,30.0,0.0,0.0,0.0,2.68,-4.0,4.0,0.0
1259,Michael Trizano,-1.0,3.5,0.0,1.0,4.0,-1.0,-6.0,1.0,2.8,-1.0,1.0,1.0
